N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
100,30,30,2,3.3887970447540283,0.885932358730111,0.9054938138695199,0.9666531110207401,0.935074486462449,0.03334688897925986,17.271512508392334
200,30,30,2,2.891537666320801,0.8859624081614256,0.9055238095238095,0.9666531110207401,0.9350904799370574,0.03334688897925986,22.11720299720764
300,30,30,2,2.717833995819092,0.8860225070240546,0.9055838067946531,0.9666531110207401,0.935122468527641,0.03334688897925986,26.6767737865448
400,30,30,2,2.646562099456787,0.885932358730111,0.9054938138695199,0.9666531110207401,0.935074486462449,0.03334688897925986,30.146806001663208
500,30,30,2,2.5591931343078613,0.88599245759274,0.9055538071654547,0.9666531110207401,0.9351064739587788,0.03334688897925986,34.334644079208374
600,30,30,2,2.6728217601776123,0.885932358730111,0.9054938138695199,0.9666531110207401,0.935074486462449,0.03334688897925986,39.010982513427734
700,30,30,2,2.572230100631714,0.8860074823083973,0.9055688067315975,0.9666531110207401,0.9351144711748155,0.03334688897925986,42.86139392852783
800,30,30,2,2.5777275562286377,0.885932358730111,0.9054938138695199,0.9666531110207401,0.935074486462449,0.03334688897925986,47.25270676612854
900,30,30,2,2.604567527770996,0.8860225070240546,0.9055838067946531,0.9666531110207401,0.935122468527641,0.03334688897925986,51.276894092559814
1000,30,30,2,2.5413002967834473,0.8860525564553691,0.905613808411602,0.9666531110207401,0.9351384636436721,0.03334688897925986,55.65512728691101
100,30,30,2,2.9392426013946533,0.8858872845831393,0.905448824113945,0.9666531110207401,0.9350504972763112,0.03334688897925986,16.908564567565918
