N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
100,200,30,2,3.5131406784057617,0.8291954937855874,0.8105902241288423,0.9836980499426454,0.8887936618665604,0.016301950057354627,113.87098145484924
200,200,30,2,3.2648966312408447,0.8191391661054307,0.8001504513540622,0.9854848672019765,0.8831995571547191,0.014515132798023472,161.53824400901794
300,200,30,2,3.22664737701416,0.8286903814363559,0.8097778745644599,0.9843377746404306,0.888565852881437,0.0156622253595694,210.38083124160767
400,200,30,2,3.190708875656128,0.8284454784791526,0.80964393306958,0.9841392393893938,0.8884043252285082,0.015860760610606196,258.4655952453613
500,200,30,2,3.2995970249176025,0.828399559174677,0.8096560486432526,0.9840289420277067,0.8883666743007359,0.015971057972293302,310.765677690506
600,200,30,2,3.1807806491851807,0.8284301720443275,0.8096966836688388,0.9840068825553693,0.888382143532856,0.015993117444630726,354.8035306930542
700,200,30,2,3.0827155113220215,0.8276648503030674,0.8086266553142153,0.9846686667254919,0.8880069230998776,0.015331333274508073,401.8330295085907
800,200,30,2,3.1190707683563232,0.8276495438682422,0.8087574307670001,0.9843818935851054,0.8879691168862179,0.015618106414894556,451.1006655693054
900,200,30,2,3.036168336868286,0.8273587216065634,0.8087923248517384,0.9837642283596576,0.8877387504852146,0.016235771640342362,508.54109740257263
1000,200,30,2,3.0998880863189697,0.8275423988244658,0.8085430139666322,0.9846024883084796,0.887929576764311,0.015397511691520338,550.0388021469116
