N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
100,30,30,2,3.0651679039001465,0.8238994673360681,0.8032016922718391,0.9883746580781788,0.8862186619195965,0.01162534192182123,14.559958696365356
200,30,30,2,3.03398060798645,0.8238382415967673,0.8032419444494253,0.988176122827142,0.8861633416088862,0.011823877172858025,19.263747453689575
300,30,30,2,3.0175411701202393,0.8238994673360681,0.8032560557976082,0.9882643607164917,0.8862074081400525,0.01173563928350834,23.9114511013031
400,30,30,2,2.8779494762420654,0.8242209024673973,0.8036675518553076,0.9880437659931175,0.8863690334837331,0.011956234006882555,28.203824520111084
500,30,30,2,2.946550130844116,0.8240066123798445,0.8033895265423242,0.9881981822994794,0.8862620187551932,0.011801817700520604,33.49481701850891
600,30,30,2,2.8694798946380615,0.8243586603808241,0.8037864513234635,0.9880658254654549,0.8864502211623143,0.011934174534545134,38.18513488769531
700,30,30,2,2.888530731201172,0.8241443702932713,0.8034430198152963,0.9883525986058413,0.8863566673590709,0.011647401394158652,43.165462493896484
800,30,30,2,2.859670400619507,0.8243433539459989,0.8036521489560163,0.9883084796611665,0.8864661654135338,0.011691520338833495,47.35723114013672
900,30,30,2,2.8435328006744385,0.8243127410763484,0.8035470913133922,0.9884628959675285,0.8864643507161509,0.011537104032471544,51.821537017822266
1000,30,30,2,2.8203203678131104,0.8243892732504745,0.8037607880429907,0.988176122827142,0.886478998664226,0.011823877172858025,56.631747245788574
